x	f(x)

1	0
2	0
3	0
4	0.0015
5	0.8145
6	0.8745
7	0.897
8	0.8132
9	0.9416
10	0.9519
11	0.9686
12	0.9555
13	0.9647
14	0.9767
15	0.9669
16	0.957
17	0.9722
18	0.9809
19	0.7903
20	0.8163
21	0.9598
22	0.592
23	0.9878
24	0.9871
25	0.9775
26	0.9563
27	0.9373
28	0.9905
29	0.9101
30	0.9846
31	0.9944
32	0.9943
33	0.9941
34	0.9941
35	0.9937
36	0.996
37	0.9953
38	0.9949
39	0.9948
40	0.9963
41	0.9959
42	0.9964
43	0.9946
44	0.9945
45	0.9957
