x	f(x)

1	1
2	1
3	1
4	0.9985
5	0.1855
6	0.1255
7	0.103
8	0.1868
9	0.0584
10	0.0481
11	0.0314
12	0.0445
13	0.0353
14	0.0233
15	0.0331
16	0.043
17	0.0278
18	0.0191
19	0.2097
20	0.1837
21	0.0402
22	0.408
23	0.0122
24	0.0129
25	0.0225
26	0.0437
27	0.0627
28	0.0095
29	0.0899
30	0.0154
31	0.0056
32	0.0057
33	0.0059
34	0.0059
35	0.0063
36	0.004
37	0.0047
38	0.0051
39	0.0052
40	0.0037
41	0.0041
42	0.0036
43	0.0054
44	0.0055
45	0.0043
